16,9,8,7,5,1,2,3,4,6,11,14,10,15,12,13,17,19,18,20,0,3224
19,17,4,1,7,2,8,3,9,5,6,14,12,10,13,11,15,16,18,20,0,2990
20,19,17,6,4,8,2,1,5,3,7,9,10,14,11,13,15,12,16,18,0,3235
17,15,19,11,6,2,1,5,7,3,4,8,9,10,18,12,13,16,14,20,0,3270
20,17,12,9,2,1,3,4,5,6,10,7,8,16,11,14,13,19,18,15,0,3231
19,18,14,6,1,2,3,5,4,7,8,9,10,15,11,16,12,13,17,20,0,3218
19,20,17,16,8,12,1,5,2,3,4,9,11,6,7,14,10,15,13,18,0,3267
15,17,10,1,2,3,6,4,11,5,7,8,9,13,12,14,16,20,18,19,0,2978
19,11,8,2,5,1,6,3,4,7,12,9,13,10,14,15,16,20,17,18,0,3260
19,18,14,5,1,2,3,4,6,13,8,17,7,9,12,10,11,15,16,20,0,3218
