1,33,17,38,2,3,18,9,4,6,35,5,7,8,10,11,12,13,19,43,14,48,15,16,39,44,20,21,47,22,23,24,25,26,27,28,29,30,31,32,34,36,37,40,41,46,42,50,45,49,0,2859
31,46,20,24,43,14,16,44,6,45,1,2,30,5,25,11,3,4,7,12,13,8,15,9,10,21,17,18,19,22,23,27,26,28,34,49,29,35,32,33,38,36,37,48,39,40,41,42,47,50,0,2942
27,8,23,36,1,22,2,3,4,5,6,7,9,10,11,12,16,15,17,49,13,14,18,19,20,21,35,24,25,26,28,33,34,29,30,31,32,37,38,39,46,42,43,40,41,44,45,47,48,50,0,2743
12,22,20,47,7,44,1,50,49,28,2,29,3,4,18,5,6,13,8,9,10,11,17,14,15,19,16,21,23,24,25,26,27,30,31,32,33,34,35,36,37,38,39,42,40,41,45,46,48,43,0,2931
1,7,21,2,3,4,5,6,8,9,10,26,11,12,13,14,15,16,17,18,36,27,19,20,22,23,24,39,25,28,29,30,46,40,31,32,33,34,35,37,38,41,47,42,43,44,45,50,48,49,0,2980
47,1,22,41,2,3,4,5,6,7,8,9,10,11,12,13,35,17,29,16,30,14,15,23,18,33,21,19,20,24,25,28,26,27,34,31,32,36,37,38,39,40,42,43,44,45,46,48,49,50,0,2987
27,18,22,35,50,1,2,3,4,8,29,34,13,5,6,9,47,33,23,7,24,10,15,28,25,14,11,12,16,17,20,44,19,21,31,26,30,45,32,36,37,38,39,40,41,42,43,46,48,49,0,2845
1,2,3,47,16,26,4,5,6,24,7,8,9,17,10,11,34,12,13,14,40,15,18,19,31,25,48,20,44,45,21,27,28,22,23,29,30,32,33,35,36,37,38,39,41,46,42,50,43,49,0,2866
46,14,7,18,8,9,1,2,3,4,5,15,6,10,11,12,13,16,17,19,20,21,22,30,23,31,24,41,25,26,27,28,29,32,33,34,37,35,36,38,39,40,45,42,50,43,47,44,48,49,0,2653
48,8,19,30,1,2,36,37,22,16,29,23,4,13,3,15,38,24,42,43,14,5,6,7,9,10,11,12,17,18,20,21,25,26,40,27,28,33,31,32,34,39,35,41,44,45,46,47,49,50,0,2822
