-355.703,-237.101,-438.965,-82.9037,-223.155,362.182,501.576,249.275,-204.063,413.873,282.83,-234.573,-5.8606,-400.037,-445.817,-451.614,-292.211,289.928,-191.501,406.28
179.979,-470.944,-198.423,-412.692,-440.072,-386.528,-387.946,-75.4585,374.869,-439.651,131.999,361.762,310.959,-205.622,-482.642,-104.872,125.355,-387.337,300.674,281.587
71.8016,272.784,-455.115,-455.572,23.107,140.969,-76.1412,395.742,-153.546,-124.509,136.798,-41.9584,251.56,-470.116,-404.339,-367.1,145.001,-219.795,-411.638,-196.83
-469.825,59.7548,-315.515,66.5474,-478.988,-189.232,315.182,-346.567,339.505,495.483,-71.2156,28.2494,-270.79,481.529,-262.111,-235.564,-457.246,-412.348,340.179,-416.269
139.185,49.7576,305.672,62.9279,12.7085,31.067,125.87,-57.8902,-429.917,-165.281,319.076,-337.329,21.8176,342.403,507.664,-279.831,-372.175,-12.4355,274.667,-157.327
-415.811,276.739,-417.199,313.397,164.825,3.66057,-197.715,278.093,-443.555,-474.294,352.844,450.728,-420.417,365.315,-113.553,-298.136,184.018,492.324,123.804,351.101
-335.116,-403.024,307.511,149.153,494.776,233.956,-394.212,-448.246,-281.199,-305.732,439.313,-414.912,-240.519,-412.454,-173.254,254.056,118.615,-408.688,451.845,-97.6795
-34.5129,-470.644,256.675,139.778,19.9855,505.395,162.674,-18.3252,-477.305,-41.3277,-429.995,-390.346,136.29,294.018,-491.522,499.606,2.07681,190.09,340.918,-204.741
-478.482,21.15,281.899,-254.047,154.44,86.8587,-317.303,300.301,-381.275,-400.423,-423.918,-397.668,25.7118,320.059,-220.855,63.9098,-11.8154,-238.69,367.514,298.753
-195.945,-218.296,-65.8222,-253.384,102.5,-324.765,-412.065,261.638,-155.636,-96.0272,115.922,-487.111,-6.16149,496.26,-213.849,4.74523,-443.358,113.526,-169.044,308.643
33.7685,-356.163,-474.316,35.9492,-181.597,-427.989,-384.617,-420.765,-68.8366,337.085,347.412,-17.0369,-33.6907,50.4057,-154.283,-381.449,485.944,269.611,-197.988,210.313
222.372,120.913,52.3859,-430.024,-69.6368,-374.724,305.287,101.515,-219.863,-9.78209,-368.033,289.573,211.248,-50.4495,-57.7178,-472.425,34.0132,-424.006,317.188,-437.929
294.334,-76.6475,469.174,500.422,-477.317,-18.066,273.258,-114.552,336.903,-347.133,-221.074,-406.104,306.081,-25.8864,-401.616,-428.272,494.562,-288.172,-490.669,-70.1947
-434.767,-395.617,366.038,281.758,-97.6204,-235.985,-353.413,487.085,122.961,-457.033,-47.122,297.181,-55.6175,-85.8328,123.862,163.028,8.89734,257.767,-45.7802,-497.09
