Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,47.570000,47.799999,46.169998,46.630001,43.669563,25380000
2018-01-03,47.529999,48.070000,47.439999,47.709999,44.681000,24165000
2018-01-04,47.990002,48.189999,47.720001,48.180000,45.121162,19815100
2018-01-05,48.419998,48.630001,48.279999,48.470001,45.392761,14496400
2018-01-08,48.299999,49.070000,47.939999,48.980000,45.870377,15075000
2018-01-09,49.250000,49.360001,48.919998,49.060001,46.124214,14153700
2018-01-10,48.860001,49.270000,48.580002,48.799999,45.879776,13476600
2018-01-11,48.869999,49.020000,48.439999,48.950001,46.020794,11687800
2018-01-12,49.180000,49.830002,49.060001,49.509998,46.547279,15978200
2018-01-16,49.849998,50.060001,49.439999,49.590000,46.622494,17152600
2018-01-17,49.910000,50.290001,49.849998,50.270000,47.261814,23183100
2018-01-18,50.189999,50.680000,50.099998,50.230000,47.224209,17119200
2018-01-19,50.500000,50.599998,50.270000,50.580002,47.553261,14011500
2018-01-22,50.430000,50.740002,50.270000,50.709999,47.675476,16840000
2018-01-23,50.750000,51.270000,50.570000,51.119999,48.060951,14141400
2018-01-24,51.360001,52.000000,51.209999,51.450001,48.371201,17205600
2018-01-25,51.540001,52.049999,51.540001,51.599998,48.512222,13904300
2018-01-26,51.860001,52.750000,51.759998,52.750000,49.593403,14909200
2018-01-29,52.669998,52.790001,51.880001,51.939999,48.831879,12234900
2018-01-30,51.740002,51.990002,50.750000,50.959999,47.910519,16863500
2018-01-31,50.860001,51.849998,50.860001,51.590000,48.502819,16806800
2018-02-01,51.360001,51.980000,51.259998,51.630001,48.540436,11674100
2018-02-02,51.250000,51.410000,50.040001,50.130001,47.130180,17562200
2018-02-05,50.040001,50.700001,48.060001,48.090000,45.212261,19725800
2018-02-06,47.330002,49.509998,46.810001,49.400002,46.443867,25921200
2018-02-07,49.200001,49.849998,48.820000,48.869999,45.945583,15138000
2018-02-08,49.090000,49.119999,46.810001,46.840000,44.037060,21255400
2018-02-09,47.580002,48.150002,45.919998,47.730000,44.873810,23191000
2018-02-12,48.220001,48.490002,47.720001,48.150002,45.268677,16261600
2018-02-13,48.009998,48.680000,47.770000,48.490002,45.588329,12633100
2018-02-14,48.189999,49.520000,48.139999,49.450001,46.490879,14271400
2018-02-15,49.700001,50.689999,49.430000,50.639999,47.609673,14132500
2018-02-16,50.549999,51.139999,50.490002,50.709999,47.675476,11098800
2018-02-20,50.200001,50.310001,49.660000,49.889999,46.904552,14144900
2018-02-21,49.869999,50.340000,49.430000,49.430000,46.472076,13050800
2018-02-22,49.590000,50.060001,49.410000,49.590000,46.622494,9513200
2018-02-23,49.790001,50.570000,49.619999,50.500000,47.478046,8866800
2018-02-26,50.590000,51.259998,50.500000,51.169998,48.107948,12956000
2018-02-27,51.070000,51.400002,50.540001,50.730000,47.694279,14339600
2018-02-28,51.060001,51.500000,50.669998,50.669998,47.637875,14947900
2018-03-01,50.959999,50.959999,49.419998,49.709999,46.735321,16539800
2018-03-02,49.330002,50.400002,49.160000,50.320000,47.308811,17291000
2018-03-05,49.900002,51.490002,49.849998,51.290001,48.220772,18771500
2018-03-06,51.560001,51.790001,51.220001,51.500000,48.418201,13907100
2018-03-07,51.060001,51.810001,51.029999,51.720001,48.625038,11727300
2018-03-08,51.939999,52.160000,51.470001,52.130001,49.010509,15864400
2018-03-09,52.349998,53.000000,52.200001,52.970001,49.800240,16218600
2018-03-12,52.980000,53.439999,52.669998,52.900002,49.734436,14108400
2018-03-13,53.240002,53.480000,52.340000,52.580002,49.433582,12864400
2018-03-14,52.880001,53.150002,52.180000,52.320000,49.189137,10885500
2018-03-15,52.220001,52.669998,52.110001,52.369999,49.236149,14155200
2018-03-16,52.400002,52.689999,52.250000,52.270000,49.142124,21011500
2018-03-19,52.430000,52.580002,51.509998,51.950001,48.841278,25777400
2018-03-20,46.799999,47.750000,46.430000,47.049999,44.234497,68601000
2018-03-21,47.290001,48.060001,47.009998,47.020000,44.206295,34597700
2018-03-22,46.720001,47.020000,45.730000,45.889999,43.143913,25610100
2018-03-23,45.980000,46.279999,44.759998,44.790001,42.109737,21398900
2018-03-26,45.549999,46.639999,45.389999,46.480000,43.698612,20754800
2018-03-27,46.630001,46.820000,45.000000,45.380001,42.664429,18925300
2018-03-28,45.279999,45.360001,44.509998,44.980000,42.288368,22156900
2018-03-29,45.310001,46.290001,45.009998,45.750000,43.012291,14256400
2018-04-02,45.650002,45.849998,44.419998,45.009998,42.316578,15343300
2018-04-03,45.330002,45.330002,44.290001,44.889999,42.203758,15734600
2018-04-04,44.070000,45.619999,44.040001,45.509998,42.786648,18505900
2018-04-05,45.730000,46.180000,45.549999,45.959999,43.209728,12313000
2018-04-06,45.509998,45.750000,44.599998,44.830002,42.147350,13893600
2018-04-09,45.110001,45.650002,44.880001,44.900002,42.213158,15200000
2018-04-10,45.549999,46.070000,45.459999,45.820000,43.078094,14868900
2018-04-11,45.400002,45.990002,45.360001,45.610001,42.880669,14911400
2018-04-12,45.689999,46.169998,45.650002,45.880001,43.134510,13970300
2018-04-13,46.310001,46.529999,45.610001,46.080002,43.322544,12493600
2018-04-16,46.029999,46.389999,45.599998,46.049999,43.473579,11639000
2018-04-17,46.410000,46.930000,46.389999,46.660000,44.049469,10762700
2018-04-18,46.680000,47.290001,46.680000,47.080002,44.445961,11312900
2018-04-19,46.990002,47.110001,46.700001,46.820000,44.200512,8563200
2018-04-20,46.470001,46.619999,45.980000,46.230000,43.643520,15675600
2018-04-23,46.380001,46.470001,45.720001,45.799999,43.237572,14904400
2018-04-24,45.930000,46.369999,45.279999,45.529999,42.982685,13357000
2018-04-25,45.419998,45.840000,45.049999,45.750000,43.190376,12637500
2018-04-26,46.090000,46.209999,45.900002,45.959999,43.388630,12175800
2018-04-27,46.119999,46.119999,45.470001,45.529999,42.982685,14420800
2018-04-30,45.660000,46.020000,45.560001,45.669998,43.114845,13896600
2018-05-01,45.389999,45.950001,45.389999,45.950001,43.379192,8838000
2018-05-02,45.889999,46.080002,45.470001,45.509998,42.963799,10715200
2018-05-03,45.360001,45.389999,44.490002,45.060001,42.538986,15370200
2018-05-04,44.930000,45.919998,44.799999,45.709999,43.152611,10571800
2018-05-07,45.939999,46.240002,45.779999,46.070000,43.492474,9006000
2018-05-08,45.880001,45.990002,45.549999,45.939999,43.369751,9830600
2018-05-09,46.230000,46.680000,45.980000,46.580002,43.973942,11822400
2018-05-10,46.799999,47.099998,46.610001,46.930000,44.304356,10974200
2018-05-11,47.110001,47.150002,46.639999,46.820000,44.200512,9498100
2018-05-14,46.810001,47.259998,46.689999,46.820000,44.200512,9689500
2018-05-15,46.509998,46.820000,46.250000,46.810001,44.191074,11304900
2018-05-16,46.930000,46.930000,46.450001,46.730000,44.115536,9874200
2018-05-17,46.689999,47.060001,46.419998,46.540001,43.936176,10162300
2018-05-18,46.689999,46.790001,46.240002,46.320000,43.728489,13517300
2018-05-21,46.529999,47.290001,46.490002,47.209999,44.568691,13416300
2018-05-22,47.240002,47.540001,46.310001,46.369999,43.775684,18505100
2018-05-23,46.080002,46.970001,46.020000,46.900002,44.276035,9204400
2018-05-24,46.660000,46.939999,46.139999,46.459999,43.860661,12497700
2018-05-25,46.490002,47.169998,46.480000,47.000000,44.370438,11354300
2018-05-29,46.549999,46.799999,46.040001,46.259998,43.671841,12427800
