0,558,0
0,568,0
0,58742,0
0,58936,0
0,58787,0
0,58806,0
0,58975,0
0,58951,0
0,58804,0
0,58903,0
0,58752,0
0,58960,0
0,568,0
0,59090,0
0,370915,0
0,370431,0
0,370045,0
0,370815,0
0,370413,0
0,371219,0
0,370676,0
0,372572,0
0,372435,0
0,565,0
0,372202,0
0,566,0
0,569,0
0,564,0
0,562,0
0,563,0
0,568,0
0,569,0
0,554,0
0,566,0
0,570,0
0,570,0
0,567,0
0,568,0
0,570,0
0,569,0
0,569,0
0,570,0
0,568,0
0,565,0
0,568,0
0,3645,0
0,3653,0
0,3646,0
0,3654,0
0,3659,0
0,3654,0
0,3642,0
0,3666,0
0,3663,0
0,567,0
0,3646,0
0,3664,0
0,3663,0
0,3658,0
0,3670,0
0,3666,0
0,3664,0
0,3655,0
0,3650,0
0,3661,0
0,565,0
0,3653,0
0,3601,0
0,3648,0
0,3630,0
0,3664,0
0,3664,0
0,3664,0
0,3634,0
0,3610,0
0,3666,0
0,559,0
0,3664,0
0,14807,0
0,14805,0
0,14788,0
0,14753,0
0,14785,0
0,14775,0
0,14792,0
0,14763,0
0,14801,0
0,562,0
0,14765,0
0,14798,0
0,14795,0
0,14784,0
0,14758,0
0,14785,0
0,14786,0
0,14770,0
0,14469,0
0,14541,0
0,561,0
0,14695,0
0,14562,0
0,14350,0
0,14751,0
0,14709,0
0,14751,0
0,14515,0
0,14754,0
0,14578,0
0,14495,0
0,559,0
0,14736,0
0,57677,0
0,59020,0
0,58896,0
0,58610,0
0,58556,0
0,58662,0
0,58847,0
0,58235,0
0,59014,0
0,30,0
