"Average","Std_Dev","Range","Median","Time"
4283.638,494.95509986121,2308.18,4204.76,0.157
33089.2133333333,5982.2501165003,24670.7,33481.25,0.071
17608329333.3333,4785879607.43278,18981610000,17723100000,0.088
298208.833333333,53597.8521913237,218767,299582.5,0.109
207.807433333333,37.3891692557261,154.192,210.258,0.117
-4.48550966666667,1.15608281846421,4.69342,-4.45479,0.169
3.14885,0,0,3.14885,0.105
181.847366666667,18.76554719377,73.783,183.498,0.116
181.742333333333,7.79859268176586,33.699,183.106,0.14
-27.3037533333334,903.716233221259,3554.81,-153.5975,0.101
94.1003833333333,641.328263207865,2243.06,175.601,0.16
4.21475233333333,0.769448835343591,3.4947,4.492165,0.112
-1.18668163333333,0.635352376833489,2.268685,-1.08452,0.186
-4.86272,0,0,-4.86272,0.106
1129954966.66667,458761279.352268,1664917000,1073065000,0.159
11589.6813333333,5467.27452178476,23630.6,11293.25,0.186
30382.47,4760.37073637019,17312.8,30500.85,0.072
280.1586,58.6295803366796,224.441,291.1945,0.078
